model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,accuracy_no_contextual,accuracy_contextual,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
stereohoax-mbert-2_txt_father_hard_s60_max_tokens_512,0.836,0.599,0.706,0.450,0.788,0.703,0.889,0.522,0.767,0.592,0.257,0.661,0.264,0.685,0.119,0.738,0.105,0.557,0.048,0.644,0.114,0.593,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s61_max_tokens_512,0.797,0.633,0.722,0.433,0.825,0.597,0.772,0.673,0.739,0.743,0.405,0.785,0.464,0.674,0.106,0.717,0.107,0.599,0.066,0.646,0.108,0.642,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s62_max_tokens_512,0.783,0.514,0.644,0.300,0.755,0.559,0.812,0.475,0.700,0.518,0.311,0.549,0.336,0.556,0.043,0.570,0.045,0.520,0.015,0.563,0.042,0.529,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s63_max_tokens_512,0.409,0.552,0.603,0.245,0.900,0.391,0.265,0.941,0.491,0.961,0.865,0.970,0.888,0.553,0.030,0.534,0.025,0.550,0.028,0.526,0.025,0.570,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s64_max_tokens_512,0.802,0.049,0.511,0.105,0.671,0.818,0.997,0.025,0.673,0.028,0.014,0.039,0.000,0.655,0.058,0.674,0.049,0.508,0.000,0.618,0.055,0.531,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s65_max_tokens_512,0.739,0.671,0.754,0.481,0.917,0.539,0.619,0.888,0.709,0.923,0.757,0.944,0.784,0.675,0.104,0.709,0.122,0.633,0.072,0.685,0.127,0.662,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s66_max_tokens_512,0.509,0.508,0.571,0.142,0.760,0.381,0.382,0.760,0.508,0.761,0.757,0.803,0.680,0.580,0.057,0.559,0.049,0.578,0.049,0.540,0.035,0.615,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s67_max_tokens_512,0.810,0.227,0.555,0.218,0.692,0.738,0.976,0.134,0.695,0.144,0.095,0.185,0.040,0.637,0.066,0.660,0.057,0.541,0.040,0.606,0.057,0.541,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s68_max_tokens_512,0.809,0.313,0.577,0.243,0.704,0.676,0.951,0.204,0.701,0.225,0.122,0.240,0.136,0.642,0.081,0.668,0.079,0.546,0.035,0.609,0.064,0.577,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s69_max_tokens_512,0.771,0.618,0.708,0.399,0.825,0.557,0.724,0.693,0.714,0.729,0.554,0.777,0.536,0.707,0.136,0.775,0.129,0.632,0.095,0.645,0.136,0.651,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s70_max_tokens_512,0.823,0.307,0.586,0.312,0.707,0.859,0.985,0.187,0.718,0.222,0.054,0.275,0.024,0.660,0.086,0.693,0.071,0.520,0.011,0.616,0.075,0.521,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s71_max_tokens_512,0.808,0.138,0.534,0.190,0.682,0.844,0.993,0.075,0.687,0.092,0.014,0.107,0.016,0.626,0.055,0.643,0.049,0.552,0.021,0.598,0.048,0.522,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s72_max_tokens_512,0.800,0.038,0.507,0.065,0.669,0.636,0.994,0.020,0.669,0.021,0.014,0.026,0.008,0.607,0.044,0.616,0.042,0.519,0.015,0.591,0.040,0.506,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s73_max_tokens_512,0.796,0.661,0.745,0.468,0.853,0.595,0.746,0.743,0.745,0.785,0.581,0.820,0.600,0.696,0.107,0.726,0.109,0.637,0.091,0.664,0.111,0.686,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s74_max_tokens_512,0.828,0.476,0.644,0.372,0.743,0.737,0.937,0.352,0.742,0.398,0.176,0.416,0.232,0.621,0.076,0.650,0.069,0.530,0.028,0.595,0.067,0.552,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s75_max_tokens_512,0.821,0.538,0.670,0.384,0.763,0.671,0.889,0.450,0.743,0.507,0.230,0.536,0.288,0.652,0.098,0.692,0.092,0.564,0.046,0.622,0.093,0.576,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s76_max_tokens_512,0.811,0.538,0.666,0.363,0.764,0.632,0.863,0.469,0.731,0.518,0.284,0.609,0.208,0.719,0.120,0.772,0.105,0.593,0.069,0.672,0.107,0.651,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s77_max_tokens_512,0.782,0.600,0.697,0.384,0.805,0.569,0.759,0.634,0.717,0.694,0.405,0.717,0.480,0.693,0.117,0.744,0.118,0.613,0.079,0.667,0.115,0.647,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s78_max_tokens_512,0.797,0.249,0.550,0.164,0.691,0.576,0.941,0.159,0.680,0.183,0.068,0.232,0.024,0.678,0.091,0.717,0.077,0.565,0.045,0.628,0.075,0.570,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s79_max_tokens_512,0.827,0.565,0.685,0.412,0.773,0.685,0.889,0.480,0.753,0.528,0.297,0.575,0.304,0.614,0.080,0.641,0.079,0.551,0.043,0.596,0.075,0.564,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s80_max_tokens_512,0.682,0.622,0.704,0.390,0.882,0.490,0.556,0.852,0.655,0.891,0.703,0.927,0.712,0.647,0.077,0.648,0.083,0.625,0.071,0.621,0.076,0.671,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s81_max_tokens_512,0.799,0.006,0.501,0.015,0.666,0.500,0.999,0.003,0.666,0.004,0.000,0.004,0.000,0.611,0.039,0.621,0.035,0.522,0.000,0.592,0.038,0.525,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s82_max_tokens_512,0.781,0.613,0.706,0.399,0.817,0.569,0.748,0.665,0.720,0.729,0.419,0.755,0.496,0.579,0.058,0.592,0.065,0.545,0.033,0.578,0.060,0.576,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s83_max_tokens_512,0.773,0.405,0.588,0.200,0.716,0.513,0.840,0.335,0.672,0.359,0.243,0.378,0.256,0.573,0.049,0.582,0.049,0.540,0.033,0.576,0.048,0.556,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s84_max_tokens_512,0.788,0.253,0.545,0.135,0.688,0.517,0.922,0.168,0.670,0.194,0.068,0.249,0.016,0.680,0.090,0.720,0.075,0.564,0.048,0.635,0.074,0.573,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s85_max_tokens_512,0.821,0.575,0.689,0.407,0.780,0.658,0.867,0.511,0.748,0.560,0.324,0.541,0.456,0.643,0.092,0.676,0.094,0.570,0.051,0.607,0.082,0.601,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s86_max_tokens_512,0.825,0.598,0.703,0.431,0.790,0.667,0.864,0.542,0.757,0.630,0.203,0.695,0.256,0.660,0.106,0.712,0.094,0.548,0.034,0.641,0.099,0.567,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s87_max_tokens_512,0.802,0.434,0.614,0.277,0.729,0.608,0.891,0.338,0.706,0.384,0.162,0.391,0.240,0.631,0.105,0.676,0.101,0.528,0.021,0.593,0.084,0.532,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s88_max_tokens_512,0.811,0.315,0.579,0.249,0.705,0.689,0.954,0.204,0.703,0.229,0.108,0.275,0.072,0.651,0.091,0.689,0.076,0.521,0.017,0.606,0.074,0.530,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s89_max_tokens_512,0.799,0.441,0.616,0.276,0.730,0.598,0.882,0.349,0.704,0.394,0.176,0.399,0.256,0.619,0.099,0.654,0.101,0.525,0.019,0.603,0.080,0.534,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s90_max_tokens_512,0.764,0.511,0.636,0.276,0.754,0.525,0.775,0.497,0.682,0.539,0.338,0.549,0.400,0.615,0.079,0.650,0.080,0.553,0.034,0.605,0.071,0.569,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-2_txt_father_hard_s91_max_tokens_512,0.801,0.069,0.513,0.092,0.672,0.650,0.990,0.036,0.672,0.035,0.041,0.039,0.032,0.617,0.065,0.630,0.070,0.512,0.014,0.596,0.045,0.523,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s42_max_tokens_512,0.825,0.551,0.677,0.399,0.768,0.680,0.891,0.464,0.748,0.514,0.270,0.528,0.344,0.694,0.093,0.719,0.085,0.638,0.099,0.649,0.084,0.679,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s43_max_tokens_512,0.755,0.480,0.616,0.236,0.740,0.502,0.770,0.461,0.667,0.472,0.419,0.506,0.376,0.603,0.084,0.648,0.077,0.522,0.018,0.597,0.076,0.538,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s44_max_tokens_512,0.244,0.516,0.542,0.125,0.829,0.355,0.143,0.941,0.410,0.972,0.824,0.961,0.904,0.513,0.008,0.507,0.005,0.512,0.007,0.507,0.005,0.518,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s45_max_tokens_512,0.079,0.494,0.499,-0.006,0.652,0.333,0.042,0.955,0.347,0.965,0.919,0.948,0.968,0.501,0.001,0.500,0.000,0.501,0.000,0.500,0.000,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s46_max_tokens_512,0.587,0.467,0.554,0.102,0.718,0.378,0.496,0.612,0.535,0.592,0.689,0.614,0.608,0.556,0.047,0.569,0.060,0.547,0.034,0.549,0.038,0.556,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s47_max_tokens_512,0.773,0.205,0.519,0.058,0.676,0.412,0.902,0.137,0.646,0.144,0.108,0.129,0.152,0.582,0.054,0.597,0.055,0.536,0.025,0.568,0.046,0.533,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s48_max_tokens_512,0.796,0.273,0.556,0.175,0.694,0.577,0.934,0.179,0.682,0.187,0.149,0.189,0.160,0.586,0.050,0.599,0.049,0.535,0.029,0.574,0.041,0.535,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s49_max_tokens_512,0.807,0.533,0.662,0.352,0.762,0.621,0.857,0.466,0.727,0.507,0.311,0.545,0.320,0.682,0.108,0.719,0.103,0.607,0.074,0.630,0.093,0.650,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s50_max_tokens_512,0.812,0.251,0.563,0.237,0.696,0.750,0.975,0.151,0.700,0.173,0.068,0.185,0.088,0.606,0.053,0.622,0.047,0.515,0.009,0.588,0.047,0.522,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s51_max_tokens_512,0.656,0.599,0.679,0.343,0.859,0.469,0.531,0.827,0.630,0.831,0.811,0.841,0.800,0.638,0.085,0.628,0.081,0.623,0.082,0.581,0.061,0.678,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s52_max_tokens_512,0.506,0.532,0.594,0.192,0.802,0.394,0.370,0.818,0.520,0.824,0.797,0.811,0.832,0.530,0.021,0.521,0.017,0.530,0.021,0.519,0.015,0.540,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s53_max_tokens_512,0.006,0.500,0.500,0.000,0.667,0.334,0.003,0.997,0.335,1.000,0.986,0.996,1.000,0.503,0.001,0.500,0.000,0.502,0.001,0.500,0.000,0.503,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s54_max_tokens_512,0.811,0.414,0.612,0.292,0.725,0.659,0.922,0.302,0.715,0.320,0.230,0.356,0.200,0.649,0.079,0.678,0.075,0.566,0.037,0.618,0.063,0.587,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s55_max_tokens_512,0.802,0.089,0.519,0.120,0.675,0.708,0.990,0.047,0.675,0.056,0.014,0.052,0.040,0.539,0.017,0.543,0.015,0.503,0.004,0.533,0.017,0.506,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s56_max_tokens_512,0.803,0.268,0.560,0.197,0.695,0.629,0.950,0.170,0.689,0.194,0.081,0.197,0.120,0.599,0.064,0.611,0.061,0.525,0.022,0.594,0.064,0.536,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s57_max_tokens_512,0.641,0.504,0.596,0.182,0.753,0.419,0.559,0.634,0.584,0.665,0.514,0.661,0.584,0.547,0.036,0.548,0.035,0.540,0.030,0.545,0.040,0.558,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s58_max_tokens_512,0.815,0.279,0.573,0.262,0.701,0.772,0.975,0.170,0.706,0.162,0.203,0.215,0.088,0.607,0.054,0.625,0.049,0.520,0.015,0.589,0.043,0.528,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s59_max_tokens_512,0.799,0.593,0.695,0.393,0.795,0.600,0.804,0.587,0.731,0.623,0.446,0.665,0.440,0.637,0.098,0.693,0.088,0.539,0.028,0.613,0.085,0.563,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s60_max_tokens_512,0.528,0.532,0.597,0.194,0.797,0.398,0.395,0.799,0.530,0.810,0.757,0.785,0.824,0.503,0.003,0.502,0.002,0.504,0.003,0.502,0.001,0.505,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s61_max_tokens_512,0.811,0.239,0.559,0.225,0.694,0.739,0.975,0.142,0.697,0.162,0.068,0.133,0.160,0.570,0.051,0.585,0.051,0.509,0.007,0.552,0.041,0.510,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s62_max_tokens_512,0.340,0.510,0.547,0.114,0.779,0.360,0.217,0.877,0.438,0.898,0.797,0.910,0.816,0.553,0.039,0.527,0.027,0.550,0.036,0.528,0.026,0.576,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s63_max_tokens_512,0.000,0.498,0.496,-0.075,0.000,0.332,0.000,0.992,0.331,0.989,1.000,0.991,0.992,0.502,0.001,0.000,0.000,0.502,0.001,0.501,0.000,0.502,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s64_max_tokens_512,0.791,0.224,0.539,0.128,0.685,0.526,0.936,0.142,0.671,0.141,0.149,0.142,0.144,0.581,0.047,0.593,0.044,0.528,0.025,0.573,0.044,0.522,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s65_max_tokens_512,0.846,0.624,0.722,0.486,0.797,0.735,0.902,0.542,0.782,0.574,0.419,0.614,0.408,0.724,0.126,0.780,0.112,0.612,0.073,0.662,0.117,0.633,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s66_max_tokens_512,0.225,0.489,0.509,0.024,0.696,0.338,0.134,0.883,0.384,0.894,0.838,0.858,0.928,0.501,0.001,0.500,0.000,0.501,0.001,0.501,0.001,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s67_max_tokens_512,0.800,0.000,0.500,0.000,0.666,0.000,1.000,0.000,0.666,0.000,0.000,0.000,0.000,0.611,0.042,0.622,0.039,0.000,0.000,0.589,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s68_max_tokens_512,0.835,0.525,0.668,0.412,0.757,0.747,0.931,0.405,0.756,0.447,0.243,0.515,0.200,0.704,0.097,0.739,0.087,0.598,0.073,0.655,0.085,0.650,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s69_max_tokens_512,0.822,0.655,0.741,0.477,0.830,0.642,0.814,0.668,0.765,0.708,0.514,0.751,0.512,0.706,0.124,0.756,0.119,0.603,0.080,0.662,0.114,0.664,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s70_max_tokens_512,0.805,0.564,0.679,0.373,0.777,0.613,0.835,0.522,0.730,0.546,0.432,0.588,0.400,0.688,0.118,0.733,0.114,0.599,0.077,0.657,0.104,0.628,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s71_max_tokens_512,0.801,0.398,0.600,0.255,0.719,0.606,0.903,0.296,0.701,0.317,0.216,0.348,0.200,0.639,0.073,0.669,0.062,0.536,0.031,0.627,0.060,0.558,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s72_max_tokens_512,0.800,0.017,0.503,0.054,0.668,0.750,0.999,0.008,0.668,0.011,0.000,0.013,0.000,0.594,0.025,0.600,0.023,0.511,0.000,0.583,0.024,0.526,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s73_max_tokens_512,0.582,0.524,0.600,0.192,0.778,0.408,0.465,0.735,0.555,0.757,0.649,0.755,0.696,0.571,0.049,0.573,0.053,0.566,0.044,0.547,0.036,0.586,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s74_max_tokens_512,0.729,0.548,0.650,0.287,0.780,0.494,0.685,0.615,0.661,0.627,0.568,0.601,0.640,0.584,0.064,0.591,0.066,0.563,0.050,0.576,0.066,0.595,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s75_max_tokens_512,0.756,0.613,0.703,0.385,0.827,0.539,0.696,0.709,0.701,0.743,0.581,0.721,0.688,0.590,0.059,0.602,0.063,0.565,0.047,0.579,0.059,0.593,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s76_max_tokens_512,0.788,0.474,0.625,0.277,0.740,0.566,0.843,0.408,0.698,0.405,0.419,0.399,0.424,0.616,0.072,0.639,0.072,0.561,0.046,0.615,0.064,0.563,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s77_max_tokens_512,0.804,0.080,0.518,0.130,0.674,0.789,0.994,0.042,0.676,0.049,0.014,0.052,0.024,0.609,0.040,0.620,0.035,0.523,0.007,0.591,0.039,0.516,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s78_max_tokens_512,0.797,0.175,0.532,0.127,0.681,0.569,0.961,0.103,0.674,0.109,0.081,0.116,0.080,0.585,0.043,0.596,0.042,0.529,0.016,0.572,0.035,0.523,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s79_max_tokens_512,0.054,0.494,0.496,-0.023,0.606,0.332,0.028,0.964,0.340,0.972,0.932,0.953,0.984,0.501,0.001,0.500,0.000,0.501,0.000,0.500,0.000,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s80_max_tokens_512,0.809,0.416,0.611,0.286,0.725,0.643,0.915,0.307,0.712,0.349,0.149,0.382,0.168,0.631,0.089,0.658,0.088,0.542,0.032,0.615,0.078,0.559,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s81_max_tokens_512,0.817,0.315,0.584,0.281,0.707,0.763,0.969,0.198,0.712,0.222,0.108,0.253,0.096,0.640,0.072,0.662,0.068,0.549,0.054,0.611,0.058,0.568,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s82_max_tokens_512,0.139,0.494,0.505,0.018,0.696,0.336,0.077,0.933,0.363,0.947,0.878,0.936,0.928,0.501,0.001,0.500,0.000,0.501,0.001,0.500,0.000,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s83_max_tokens_512,0.731,0.453,0.591,0.183,0.726,0.458,0.735,0.447,0.639,0.489,0.284,0.502,0.344,0.549,0.038,0.558,0.040,0.531,0.026,0.547,0.039,0.544,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s84_max_tokens_512,0.802,0.079,0.516,0.107,0.673,0.682,0.990,0.042,0.674,0.039,0.054,0.026,0.072,0.593,0.045,0.600,0.043,0.508,0.008,0.584,0.043,0.512,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s85_max_tokens_512,0.802,0.043,0.510,0.096,0.670,0.800,0.997,0.022,0.672,0.025,0.014,0.034,0.000,0.531,0.017,0.532,0.016,0.502,0.001,0.529,0.016,0.502,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s86_max_tokens_512,0.810,0.308,0.577,0.246,0.704,0.689,0.955,0.198,0.702,0.218,0.122,0.227,0.144,0.639,0.087,0.668,0.084,0.531,0.024,0.606,0.068,0.541,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s87_max_tokens_512,0.803,0.127,0.527,0.142,0.679,0.694,0.985,0.070,0.679,0.081,0.027,0.082,0.048,0.592,0.036,0.600,0.034,0.531,0.028,0.581,0.031,0.535,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s88_max_tokens_512,0.798,0.032,0.503,0.030,0.668,0.462,0.990,0.017,0.665,0.014,0.027,0.017,0.016,0.587,0.034,0.593,0.034,0.512,0.007,0.578,0.029,0.517,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s89_max_tokens_512,0.815,0.398,0.608,0.298,0.722,0.690,0.937,0.279,0.717,0.317,0.135,0.318,0.208,0.614,0.063,0.638,0.057,0.538,0.033,0.585,0.052,0.560,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s90_max_tokens_512,0.632,0.524,0.610,0.208,0.772,0.425,0.535,0.684,0.585,0.687,0.676,0.695,0.664,0.501,0.000,0.500,0.000,0.501,0.000,0.501,0.000,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-3_txt_head_hard_s91_max_tokens_512,0.799,0.006,0.501,0.015,0.666,0.500,0.999,0.003,0.666,0.004,0.000,0.004,0.000,0.565,0.024,0.568,0.024,0.512,0.000,0.559,0.024,0.513,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-4_rh_text_hard_s42_max_tokens_512,0.800,0.444,0.618,0.281,0.731,0.603,0.884,0.352,0.706,0.342,0.392,0.309,0.432,0.628,0.085,0.649,0.083,0.594,0.080,0.583,0.069,0.628,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-mbert-4_rh_text_hard_s43_max_tokens_512,0.620,0.565,0.642,0.274,0.824,0.440,0.497,0.788,0.594,0.817,0.676,0.815,0.736,0.554,0.037,0.551,0.036,0.548,0.035,0.541,0.029,0.568,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
